,menu_name,menu_category,menu_image
10,คาปูชิโน่ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831525/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%84%E0%B8%B2%E0%B8%9B%E0%B8%B9%E0%B8%8A%E0%B8%B4%E0%B9%82%E0%B8%99%E0%B9%88%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
11,มอคค่าปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831545/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%AD%E0%B8%84%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
12,ดาร์คโกโก้ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831539/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B9%82%E0%B8%81%E0%B9%82%E0%B8%81%E0%B9%89%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
13,มอคค่าร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831546/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%AD%E0%B8%84%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
14,คาปูชิโน่ร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831527/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%84%E0%B8%B2%E0%B8%9B%E0%B8%B9%E0%B8%8A%E0%B8%B4%E0%B9%82%E0%B8%99%E0%B9%88%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
15,คาราเมล แมคคิอาโต้ร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831528/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%A1%E0%B8%A5%20%E0%B9%81%E0%B8%A1%E0%B8%84%E0%B8%84%E0%B8%B4%E0%B8%AD%E0%B8%B2%E0%B9%82%E0%B8%95%E0%B9%89%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
16,Bagel Chocolate Dip และ Milk,"เบเกอรี/เค้ก, ของหวาน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831362/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/Bagel%20Chocolate%20Dip%20%E0%B9%81%E0%B8%A5%E0%B8%B0%20Milk.png
17,Choco Strawberry Cream Cheese และ Soda,"เบเกอรี/เค้ก, เครื่องดื่ม/น้ำผลไม้",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831376/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/Choco%20Strawberry%20Cream%20Cheese%20%E0%B9%81%E0%B8%A5%E0%B8%B0%20Soda.png
18,ลาเต้ร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831562/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
19,ดาร์คโกโก้ร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831540/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B9%82%E0%B8%81%E0%B9%82%E0%B8%81%E0%B9%89%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
20,ดับเบิ้ลช็อคโก้ ครีมชีส คุ้กกี้,"ของหวาน, เบเกอรี/เค้ก",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831538/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%84%E0%B9%82%E0%B8%81%E0%B9%89%20%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%8A%E0%B8%B5%E0%B8%AA%20%E0%B8%84%E0%B9%89%E0%B8%B8%E0%B8%81%E0%B8%81%E0%B8%B5%E0%B9%89.png
21,มัทฉะลาเต้ร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831554/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
22,ดับเบิ้ลเบอร์เกอร์ชีสลาวา เนื้อ,"เบอร์เกอร์, ฟาสต์ฟู้ด/จานด่วน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742830495/Burger%20King%20%28%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%29/%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B8%B5%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%B2%20%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD.png
23,ชุดเบอร์เกอร์ชีสลาวา เนื้อ,"เบอร์เกอร์, ฟาสต์ฟู้ด/จานด่วน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742830472/Burger%20King%20%28%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%29/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B8%B5%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%B2%20%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD.png
24,ลาเต้ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831560/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
25,เบอร์เกอร์หมูย่างบาร์บีคิวชีส,"เบอร์เกอร์, ฟาสต์ฟู้ด/จานด่วน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742830541/Burger%20King%20%28%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%29/%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7%E0%B8%8A%E0%B8%B5%E0%B8%AA.png
26,ลาบหมูทอด,อาหารอีสาน,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857996/Thong%20Grill%20Hide%20and%20Shabu%20%28%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%A3%E0%B8%B4%E0%B8%A5%E0%B8%AE%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%B0%20%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B8%B9%29/%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%AD%E0%B8%94.png
27,ยำแซลมอน ฟู,"อาหารทะเล, อาหารฟิวชั่น, อาหารญี่ปุ่น",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857987/Thong%20Grill%20Hide%20and%20Shabu%20%28%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%A3%E0%B8%B4%E0%B8%A5%E0%B8%AE%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%B0%20%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B8%B9%29/%E0%B8%A2%E0%B8%B3%E0%B9%81%E0%B8%8B%E0%B8%A5%E0%B8%A1%E0%B8%AD%E0%B8%99%20%E0%B8%9F%E0%B8%B9.png
28,ตำคอหมูย่าง,อาหารอีสาน,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742834821/%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B8%9A%20%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%9F%E0%B8%B4%E0%B8%A7%E0%B8%8A%E0%B8%B1%E0%B8%99%20%28%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B8%9A%20%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%9F%E0%B8%B4%E0%B8%B4%E0%B8%A7%E0%B8%8A%E0%B8%B1%E0%B8%99%29/%E0%B8%95%E0%B8%B3%E0%B8%84%E0%B8%AD%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87.png
