restaurant_name,menu_name,cloudinary_url
H CAFE & TEA (H CAFE & TEA),Americano อเมริกาโน่,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857888/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Americano%20%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B9%82%E0%B8%99%E0%B9%88.png
H CAFE & TEA (H CAFE & TEA),Apple Smoothie สมูทตี้ แอปเปิ้ล,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857889/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Apple%20Smoothie%20%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%95%E0%B8%B5%E0%B9%89%20%E0%B9%81%E0%B8%AD%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B9%89%E0%B8%A5.png
H CAFE & TEA (H CAFE & TEA),Apple Soda,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857890/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Apple%20Soda.png
H CAFE & TEA (H CAFE & TEA),Blue Lemon Soda,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857891/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Blue%20Lemon%20Soda.png
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Cocoa Milk,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857892/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Butterfly%20Pea%20Cocoa%20Milk.png
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Coconut Thai Tea.,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857893/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Butterfly%20Pea%20Coconut%20Thai%20Tea..png
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Honey Lemon,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857894/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Butterfly%20Pea%20Honey%20Lemon.png
H CAFE & TEA (H CAFE & TEA),Butterfly Pea Lychee Soda,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857895/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Butterfly%20Pea%20Lychee%20Soda.png
H CAFE & TEA (H CAFE & TEA),Caramel Almond Donut,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857896/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Caramel%20Almond%20Donut.png
H CAFE & TEA (H CAFE & TEA),Coconut Latte Shake ลาเต้มะพร้าวปั่น,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857897/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Coconut%20Latte%20Shake%20%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%B0%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
H CAFE & TEA (H CAFE & TEA),Custard Creme Brulee Donut,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857898/H%20CAFE%20and%20TEA%20%28H%20CAFE%20and%20TEA%29/Custard%20Creme%20Brulee%20Donut.png
