restaurant_name,menu_name,cloudinary_url
Amatissimo Caffe Summakorn (Amatissimo Caffe),Croissant Bomb Garlic Sauce,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829827/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Croissant%20Bomb%20Garlic%20Sauce.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Croissant Chips Original,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829828/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Croissant%20Chips%20Original.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Croissant Waffle Original,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829830/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Croissant%20Waffle%20Original.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Double baked Dubai Chocolate,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829831/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Double%20baked%20Dubai%20Chocolate.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Dulcey Mochaccino,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829832/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Dulcey%20Mochaccino.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Egg Tart,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829833/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Egg%20Tart.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Espresso on Iced,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829837/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Espresso%20on%20Iced.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Flat White,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829838/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Flat%20White.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),French Apple Crumble Croissant,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829840/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/French%20Apple%20Crumble%20Croissant.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),French Butter Croissant,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829842/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/French%20Butter%20Croissant.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Gateau Noir S.E.Y. Cream,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829845/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Gateau%20Noir%20S.E.Y.%20Cream.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Americano,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829848/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Americano.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Caffe Latte Caramel Macchiato,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829850/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Caffe%20Latte%20Caramel%20Macchiato.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Caffe Latte,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829852/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Caffe%20Latte.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Cappuccino,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829853/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Cappuccino.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Espresso,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829855/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Espresso.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Hot Matcha Pure,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829857/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Hot%20Matcha%20Pure.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Houjicha Milk,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829859/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Houjicha%20Milk.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Houjicha X Coconut Water,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829861/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Houjicha%20X%20Coconut%20Water.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Ice Americano,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829863/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Ice%20Americano.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Ice Caffe Coconut Water,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829865/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Ice%20Caffe%20Coconut%20Water.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Iced Caffe Cubano,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829867/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Iced%20Caffe%20Cubano.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Iced Caffe Latte,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829869/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Iced%20Caffe%20Latte.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Iced Caffe Romano,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829873/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Iced%20Caffe%20Romano.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),KA Fleur de sel de Guerande Butter,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829875/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/KA%20Fleur%20de%20sel%20de%20Guerande%20Butter.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),KA Frangipane,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829877/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/KA%20Frangipane.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),KA Fromage Blance de Normandie,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829880/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/KA%20Fromage%20Blance%20de%20Normandie.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),KA Lemon,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829882/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/KA%20Lemon.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Lemon Butter Spread,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829884/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Lemon%20Butter%20Spread.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Matcha Pure,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829887/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Matcha%20Pure.png
